time,bytes,rate
3.029195000,560,184
4.037421000,883968,876755
5.039779000,282800,282134
6.040472000,746416,745899
7.064467000,399784,390415
8.081011000,467312,459706
9.088840000,637312,632361
10.090233000,259936,259574
11.105502000,694096,683657
12.108452000,431760,430490
13.114997000,643592,639407
14.128639000,341384,336789
15.147591000,748848,734919
16.196189000,308800,294488
17.215883000,641728,629333
18.247070000,455512,441735
19.256736000,305112,302191
20.277416000,815064,798549
21.318437000,531384,510445
22.339852000,570296,558339
23.358918000,433872,425754
24.368468000,269608,267057
25.409454000,651104,625468
26.440096000,194008,188239
27.449484000,626312,620486
28.480124000,824208,799705
29.490114000,819088,810986
30.500075000,810920,802922
31.510529000,809792,801414
32.520043000,809824,802191
33.520065000,812848,812830
34.529467000,811616,804056
35.538899000,800832,793349
36.548118000,816976,809513
37.569466000,826824,809541
38.578808000,816664,809105
39.588183000,806264,798775
40.588302000,810400,810303
41.608224000,805848,790107
42.617461000,803936,796578
43.626582000,823144,815703
44.636108000,816600,808894
45.636312000,798272,798109
46.644480000,823824,817149
47.656705000,760344,751161
48.708484000,730472,694510
49.717883000,417104,413220
50.737146000,719320,705725
51.753929000,428512,421438
52.768455000,689280,679410
53.789436000,779808,763783
54.819806000,587632,570311
55.840748000,821496,804645
56.857463000,478712,470841
57.868945000,677304,669615
58.887153000,818800,804157
59.889697000,805144,803100
60.898113000,807928,801185
61.919702000,822752,805364
62.940410000,743024,727949
63.953695000,768816,758736
64.966121000,384920,380195
65.968754000,793976,791890
66.977454000,765136,758536
67.991030000,827656,816570
69.008095000,815576,801891
70.017721000,635112,629056
71.037470000,762888,748113
72.037503000,461728,461712
73.046292000,818376,811245
74.055995000,751184,743965
75.077503000,804632,787690
76.129389000,662360,629688
77.138701000,652192,646174
78.159910000,821472,804411
79.168476000,467896,463922
80.188856000,819512,803143
81.198501000,525320,520301
82.208887000,592128,586041
83.217410000,680184,674435
84.249504000,721920,699471
85.269446000,810456,794609
86.278587000,594912,589523
87.289467000,566776,560675
88.298088000,711792,705708
89.318663000,640712,627795
90.327905000,729408,722728
91.358616000,613592,595309
92.368227000,629400,623408
93.399917000,575688,558004
94.409359000,338424,335258
95.409404000,796672,796636
96.440046000,400728,388813
97.459874000,497072,487407
98.490892000,694256,673369
99.500808000,354232,350753
100.521485000,771696,756062
101.562514000,163488,157044
102.603943000,711904,683583
103.636005000,346048,335297
104.644264000,642688,637423
105.644431000,588824,588725
106.653412000,334744,331764
107.683818000,555840,539437
108.694198000,313064,309847
109.703803000,598408,592714
110.712010000,467104,463301
111.721433000,810912,803342
112.730615000,396768,393158
113.752215000,816336,799075
114.760114000,711872,706292
115.768709000,696432,690497
116.780775000,836536,826562
117.789430000,597928,592797
118.807868000,827368,812389
119.808023000,636296,636197
120.827979000,543400,532768
121.837441000,806920,799356
122.846526000,720880,714389
123.855906000,805528,798042
124.876012000,365832,358621
125.895976000,625472,613229
126.916316000,548688,537750
127.936848000,446584,437599
128.941657000,809408,805534
129.967059000,402936,392954
130.986541000,611480,599794
132.008947000,652352,638055
133.011262000,383576,382690
134.026537000,803704,791612
135.037474000,761824,753582
136.057487000,694968,681332
137.066763000,768136,761076
138.075880000,574112,568925
139.085440000,800048,792471
140.085880000,809216,808860
141.094128000,809808,803183
142.103913000,817520,809598
143.113784000,804736,796870
144.123641000,813064,805127
145.133418000,816792,808883
146.137977000,622632,619806
147.142027000,809600,806334
148.151731000,625976,619959
149.172254000,744576,729602
150.213389000,498880,479169
151.222720000,687512,681156
152.242934000,421880,413521
153.251884000,473776,469573
154.261417000,711680,704959
155.292644000,444760,431292
156.313381000,679736,665926
157.333456000,331744,325215
158.353506000,414832,406678
159.374632000,767320,751444
160.394439000,542760,532218
161.415687000,821504,804411
162.429630000,814168,802972
163.434253000,802712,799018
164.444081000,822624,814617
165.453442000,809240,801734
166.479159000,817952,797444
167.529490000,744864,709170
168.548320000,925696,908587
169.561447000,482480,476228
170.564215000,647320,645533
171.577706000,611344,603206
172.583529000,467200,464495
173.604016000,812184,795878
174.613561000,381944,378332
175.624133000,587624,581476
176.644085000,559680,548731
